,Seed,SegmentNumber,LearnedAction,ScenarioExpectedSuccessPercent
176,59,7,İndirim Teklifi,72.0
177,59,8,İndirim Teklifi,78.0
178,59,9,Win-Back Teklifi,82.0
179,59,10,Win-Back Teklifi,88.0
180,60,1,Aksiyon Yok,85.0
181,60,2,Aksiyon Yok,78.0
182,60,3,Aksiyon Yok,65.0
183,60,4,Etkileşim Mesajı,65.0
184,60,5,Sadakat Teklifi,65.0
185,60,6,Sadakat Teklifi,70.0
186,60,7,İndirim Teklifi,72.0
187,60,8,İndirim Teklifi,78.0
188,60,9,Win-Back Teklifi,82.0
189,60,10,Win-Back Teklifi,88.0
190,61,1,Aksiyon Yok,85.0
191,61,2,Aksiyon Yok,78.0
192,61,3,Aksiyon Yok,65.0
193,61,4,Etkileşim Mesajı,65.0
194,61,5,Sadakat Teklifi,65.0
195,61,6,Sadakat Teklifi,70.0
196,61,7,İndirim Teklifi,72.0
197,61,8,İndirim Teklifi,78.0
198,61,9,Win-Back Teklifi,82.0
199,61,10,Win-Back Teklifi,88.0
